id,nom_d,eff_d,r2_law,r2_bb,N
A4_HUMAN_Seuma_2022,42,27.4,0.188,0.397,1500
AMFR_HUMAN_Tsuboyama_2023_4G3O,47,6.36,0.324,0.584,1500
BBC1_YEAST_Tsuboyama_2023_1TG0,64,20.55,0.177,0.367,1500
BCHB_CHLTE_Tsuboyama_2023_2KRU,52,15.24,0.174,0.488,1500
CAPSD_AAV2S_Sinai_2021,28,22.79,0.218,0.541,1500
CATR_CHLRE_Tsuboyama_2023_2AMI,72,6.66,0.438,0.492,1500
CBPA2_HUMAN_Tsuboyama_2023_1O6X,72,5.17,0.55,0.62,1500
CBX4_HUMAN_Tsuboyama_2023_2K28,50,9.91,0.36,0.489,1500
CSN4_MOUSE_Tsuboyama_2023_1UFM,72,13.92,0.205,0.453,1500
CUE1_YEAST_Tsuboyama_2023_2MYX,52,18.83,0.112,0.524,1500
D7PM05_CLYGR_Somermeyer_2022,234,105.87,0.099,0.132,1500
DLG4_HUMAN_Faure_2021,84,14.31,0.412,0.492,1500
DNJA1_HUMAN_Tsuboyama_2023_2LO1,65,8.27,0.603,0.652,1500
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,66,19.27,0.214,0.319,1500
EPHB2_HUMAN_Tsuboyama_2023_1F0M,66,6.52,0.505,0.555,1500
F7YBW8_MESOW_Ding_2023,10,5.55,0.504,0.576,1500
F7YBW8_MESOW_Aakre_2015,4,3.96,0.649,0.807,1500
FECA_ECOLI_Tsuboyama_2023_2D1U,72,26.44,0.1,0.356,1500
GCN4_YEAST_Staller_2018,44,40.5,0.03,0.096,1500
GFP_AEQVI_Sarkisyan_2016,233,79.58,0.083,0.359,1500
GRB2_HUMAN_Faure_2021,56,34.85,0.181,0.345,1500
HECD1_HUMAN_Tsuboyama_2023_3DKM,70,15.26,0.303,0.576,1500
HIS7_YEAST_Pokusaeva_2019,126,19.92,0.346,0.272,1500
ISDH_STAAW_Tsuboyama_2023_2LHR,55,14.27,0.096,0.39,1500
MAFG_MOUSE_Tsuboyama_2023_1K1V,41,6.82,0.471,0.621,1429
MBD11_ARATH_Tsuboyama_2023_6ACV,66,8.25,0.41,0.565,1500
MYO3_YEAST_Tsuboyama_2023_2BTT,60,15.2,0.314,0.43,1500
NKX31_HUMAN_Tsuboyama_2023_2L9R,61,11.9,0.318,0.437,1500
NUSA_ECOLI_Tsuboyama_2023_1WCL,69,10.3,0.381,0.492,1500
NUSG_MYCTU_Tsuboyama_2023_2MI6,55,27.43,0.143,0.556,1380
OBSCN_HUMAN_Tsuboyama_2023_1V1C,65,11.8,0.417,0.55,1500
ODP2_GEOSE_Tsuboyama_2023_1W4G,44,20.02,0.23,0.436,1134
PABP_YEAST_Melamed_2013,75,49.58,0.103,0.381,1500
PHOT_CHLRE_Chen_2023,33,4.53,0.661,0.911,1500
PIN1_HUMAN_Tsuboyama_2023_1I6C,39,9.95,0.349,0.57,802
PITX2_HUMAN_Tsuboyama_2023_2L7M,52,8.9,0.254,0.499,1500
POLG_PESV_Tsuboyama_2023_2MXD,53,12.19,0.373,0.568,1500
PR40A_HUMAN_Tsuboyama_2023_1UZC,63,4.09,0.602,0.668,1500
PSAE_PICP2_Tsuboyama_2023_1PSE,68,8.36,0.364,0.436,1500
Q6WV12_9MAXI_Somermeyer_2022,216,36.67,0.227,0.625,1500
Q8WTC7_9CNID_Somermeyer_2022,236,54.95,0.203,0.383,1500
RAD_ANTMA_Tsuboyama_2023_2CJJ,54,8.96,0.37,0.496,912
RASK_HUMAN_Weng_2022_abundance,182,58.74,0.192,0.319,1500
